RANK,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FGM,FGA,FT%,FTM,FTA,3PM,PTS,REB,AST,STL,BLK,TO,TOTAL
148,140,Jeremy Sochan,PF,SA,72,29.8,0.444,4.9,11,0.769,1.7,2.2,0.9,12.2,6.8,3.2,0.9,0.6,2,-0.73
149,140.1,Tari Eason,SF,HOU,67,22.4,0.457,3.9,8.5,0.732,1.3,1.8,0.8,9.8,7.1,1.2,1.3,0.7,1.2,-0.78
150,108.6,Aaron Gordon,PF,DEN,72,31,0.56,6,10.6,0.632,2.7,4.2,0.7,15.3,6.6,3.3,0.8,0.7,1.5,-0.81
151,134.8,Tre Jones,PG,SA,74,24.4,0.479,3.9,8,0.861,1.5,1.7,0.7,9.8,3.2,5.5,1,0.1,1.4,-0.81
152,132.8,Kelly Oubre Jr.,SG/SF,PHI,65,29.4,0.436,6,13.8,0.76,2.5,3.3,1.7,16.3,4.9,1.3,1.2,0.5,1.2,-0.87
153,137.2,Zach Edey,C,MEM,68,26.2,0.575,4.2,7.3,0.729,1.8,2.5,0,12.2,10.2,1.3,0.3,1.5,1,-0.9
154,140,Dyson Daniels,PG/SG,ATL,68,27.4,0.453,2.8,6.1,0.651,0.7,1.1,0.8,7.1,5,3.5,1.5,0.4,1.4,-0.91
155,110.3,Scoot Henderson,PG,POR,67,30.1,0.409,5.6,13.8,0.821,2.9,3.5,1.5,15.7,3.3,5.8,1,0.3,3.3,-0.91
156,139.3,Kyle Lowry,PG,PHI,58,27.7,0.417,3,7.1,0.855,1.5,1.7,1.7,9.1,3.4,4.4,1,0.3,1.5,-0.92
157,136.5,Jaden McDaniels,SF,MIN,74,29.8,0.504,4.5,9,0.732,1.1,1.5,1.3,11.4,3.5,1.7,0.9,0.8,1.3,-0.97
158,140.1,Patrick Williams,PF,CHI,68,28.3,0.457,3.9,8.5,0.829,1.2,1.4,1.4,10.3,4,1.4,0.9,0.8,1.3,-0.98
159,140,Karlo Matkovic,PF,NO,50,19.2,0.488,3.6,7.4,0.751,1.4,1.9,1.1,9.7,4.6,1.5,0.7,1.2,1.4,-1
160,138.8,Luguentz Dort,SG/SF,OKC,76,28,0.434,3.9,9,0.827,1.6,1.9,1.8,11.2,3.9,1.7,0.9,0.6,1,-1.01
161,140,Terance Mann,SG/SF,LAC,76,27,0.514,4.5,8.8,0.808,1.4,1.7,1.2,11.6,4.3,2.5,0.7,0.3,1,-1.02
162,131.5,Malcolm Brogdon,PG/SG,WAS,43,27.7,0.466,4.6,9.8,0.85,2,2.4,1.7,12.9,3.4,3.7,0.6,0.2,1.3,-1.05
163,139.8,T.J. McConnell,PG,IND,70,18.6,0.55,4.1,7.4,0.816,0.7,0.9,0.3,9.2,2.8,5.3,1,0.1,1.7,-1.05
164,138.6,Max Strus,SG/SF,CLE,72,29.4,0.414,4.2,10,0.829,1,1.2,2.4,11.7,3.9,3.4,0.8,0.3,1.2,-1.05
165,131.8,Deni Avdija,SF/PF,POR,73,26.4,0.477,4.4,9.1,0.738,2.1,2.9,1,11.9,6.5,3.3,0.8,0.4,1.9,-1.08
166,138.4,Ben Simmons,PG/PF,BKN,28,24.9,0.569,3,5.3,0.427,0.5,1.2,0,6.6,6.6,5.9,1.1,0.6,2.1,-1.09
167,95.6,Shaedon Sharpe,SG/SF,POR,65,31.6,0.434,5.6,12.9,0.812,2.8,3.5,1.9,15.9,4.6,2.2,0.8,0.4,1.8,-1.09
168,139.5,Jonathan Isaac,PF,ORL,55,17.2,0.496,2.8,5.7,0.704,1.1,1.5,0.8,7.5,5.1,0.6,1,1.2,0.5,-1.13
169,140,Daniel Theis,C,NO,67,24,0.524,3.8,7.3,0.759,1,1.3,0.6,9.2,5.7,1.5,0.5,1.1,1,-1.15
170,140,Kevin Porter Jr.,SG,LAC,55,24.8,0.442,4.7,10.6,0.785,2.5,3.2,1.7,13.5,3.8,4.1,1,0.2,2.3,-1.17
171,136.8,Jaime Jaquez Jr.,SG/SF,MIA,73,28,0.489,4.6,9.3,0.812,1.9,2.3,0.9,11.9,3.8,2.6,1,0.3,1.5,-1.24
172,124.3,Kevin Huerter,SG/SF,SAC,68,24.8,0.468,4.5,9.5,0.75,0.9,1.2,2.2,12,3.2,2.6,0.8,0.3,1,-1.25
173,139.8,Gary Trent Jr.,SG,MIL,70,30,0.429,5.3,12.3,0.792,1.6,2.1,2.4,14.5,2.5,1.6,1.2,0.2,0.7,-1.29
174,111.4,Keldon Johnson,SF,SA,67,27.5,0.453,6.1,13.4,0.798,2.8,3.6,1.8,16.7,4.7,2.6,0.7,0.2,1.6,-1.34
175,140.1,Luke Kennard,SG,MEM,60,25.4,0.472,3.7,7.7,0.914,0.9,0.9,2.7,10.8,3,2.5,0.6,0.1,1.1,-1.36
176,119.6,Jordan Clarkson,SG,UTA,64,28.6,0.431,6.3,14.5,0.846,3,3.5,1.9,17.4,3.4,4.3,0.5,0.2,2.6,-1.37
177,139.9,Nick Richards,C,CHA,67,23.2,0.655,3.5,5.3,0.744,2.1,2.8,0,9.1,7.4,0.7,0.3,1,1,-1.39
178,139.1,Cole Anthony,PG,ORL,72,21.9,0.444,4,9,0.855,2.2,2.6,1.3,11.5,3.9,3.1,0.7,0.5,1.4,-1.4
179,137.9,Reed Sheppard,SG,HOU,67,20.2,0.472,2.2,4.8,0.835,0.9,1,1.3,6.7,2.5,2.4,1.3,0.4,1.1,-1.4
180,126.1,Jarred Vanderbilt,PF,LAL,65,24.1,0.542,3,5.6,0.688,1.2,1.7,0.4,7.6,7.1,2.2,1.2,0.3,1.2,-1.44
181,132.9,Andrew Wiggins,SF/PF,GS,70,28.5,0.461,5.6,12.1,0.711,1.7,2.4,1.7,14.6,4.7,1.9,0.8,0.6,1.3,-1.44
182,140,Bilal Coulibaly,SF,WAS,68,28.5,0.44,3.6,8.2,0.71,1.8,2.5,1.2,10.2,4.9,2.1,1.1,0.9,1.6,-1.45
183,139.6,Donovan Clingan,C,POR,67,21.2,0.639,3.7,5.9,0.608,1.6,2.7,0.3,9.4,5.2,1.1,0.4,1.7,0.6,-1.52
184,125.4,Russell Westbrook,PG,DEN,72,29.2,0.444,5.7,12.8,0.668,2.5,3.7,1,14.8,5.9,5.4,1.2,0.4,3.1,-1.54
185,140,Andrew Nembhard,PG/SG,IND,72,28,0.477,4.1,8.6,0.798,0.7,0.9,1.2,10,2.6,4.7,1,0.1,1.7,-1.6
186,119.7,Josh Hart,SG/SF,NY,76,28.2,0.456,3,6.6,0.764,1.2,1.6,0.8,8,7,3.4,0.9,0.2,1.5,-1.63
187,131.6,Caris LeVert,SG/SF,CLE,69,27.5,0.426,4.4,10.3,0.746,1.9,2.5,1.6,12.2,3.7,4.2,1,0.4,1.5,-1.63
188,140,Caleb Martin,SG/SF,PHI,68,29.6,0.447,3.9,8.6,0.794,1.3,1.7,1.3,10.3,4.9,2,0.9,0.5,1.2,-1.64
189,139.9,Duncan Robinson,SF,MIA,67,26.4,0.447,4.4,9.8,0.889,1.1,1.3,2.6,12.5,2.5,2.5,0.6,0.2,1.3,-1.65
190,139.8,Nikola Jovic,PF,MIA,52,25.4,0.443,3.7,8.4,0.766,1.2,1.6,1.8,10.4,5.3,2.4,0.8,0.4,1.2,-1.67
191,139.9,Josh Richardson,SG/SF,MIA,60,25.2,0.436,3.8,8.7,0.885,1.2,1.3,1.7,10.4,2.9,2.7,0.9,0.3,1.2,-1.68
192,140,Brandon Clarke,PF,MEM,60,19.5,0.642,4.2,6.6,0.694,1.6,2.3,0,10.1,5.5,1.3,0.6,0.7,0.9,-1.71
193,139.4,Bennedict Mathurin,SG/SF,IND,68,29,0.443,5.5,12.5,0.826,4.4,5.3,1.4,16.8,4.3,1.8,0.7,0.2,1.9,-1.79
194,139.8,Christian Braun,SG,DEN,79,28.4,0.468,3.9,8.3,0.73,1.5,2.1,1,10.4,5.2,2,0.9,0.6,1,-1.8
195,138.4,Zaccharie Risacher,SF/PF,ATL,68,28.4,0.452,4.8,10.6,0.74,1.9,2.6,1.4,12.9,3.6,1.4,1.1,0.7,1.5,-1.83
196,140,Peyton Watson,SF,DEN,78,24.5,0.467,3.7,7.9,0.65,1.3,2,0.8,9.5,4.6,1.5,0.7,1.5,1,-1.84
197,140,Josh Green,SG/SF,CHA,64,28.9,0.472,4.2,8.9,0.709,1.1,1.5,1.6,11,3.6,2.3,1,0.3,1.3,-1.85
198,139.2,Andre Drummond,C,PHI,74,18.8,0.575,3.7,6.5,0.604,1.7,2.8,0,9.2,9.9,0.6,1,0.7,1.4,-1.92
199,139.8,Nickeil Alexander-Walker,SG,MIN,74,25.8,0.441,3.4,7.7,0.733,0.9,1.2,1.8,9.5,2.5,2.9,0.9,0.6,1.2,-1.95
200,139.8,Isaiah Jackson,PF/C,IND,60,16.5,0.607,3.1,5.1,0.675,1.5,2.3,0,7.7,4.8,0.9,0.6,1.4,0.8,-2.01
