RANK,PLAYER,POS,TEAM,GP,MPG,FG%,FGM,FGA,FT%,FTM,FTA,3PM,PTS,REB,AST,STL,BLK,TO,TOTAL
184,Jaden McDaniels,SF/PF,MIN,72,29.2,0.489,4.3,8.7,0.718,0.8,1.1,1.2,10.5,3.1,1.4,0.9,0.6,1.2,-1.84
185,Dorian Finney-Smith,SF/PF/C,BKN,68,28.4,0.421,3.2,7.5,0.721,0.5,0.7,1.7,8.5,4.7,1.6,0.8,0.6,0.9,-1.89
186,Trey Jemison,C,MEM,25,22.9,0.551,3,5.4,0.84,0.8,1,0,6.8,5.4,1.1,0.4,1.1,1.4,-1.9
187,Brandin Podziemski,SG,GS,74,26.6,0.454,3.7,8.1,0.636,0.7,1.1,1.2,9.2,5.8,3.7,0.8,0.2,1.2,-1.91
188,Larry Nance Jr.,PF/C,NO,61,19.9,0.572,2.3,4,0.77,0.8,1,0.4,5.7,5,1.9,1,0.3,0.8,-1.91
189,Grant Williams,PF/C,CHA,76,28,0.456,3.6,8,0.755,1.4,1.8,1.7,10.3,4.2,2.3,0.6,0.5,1.4,-1.94
190,Luke Kornet,C,BOS,63,15.6,0.699,2.3,3.2,0.907,0.8,0.9,0,5.3,4.1,1.1,0.3,1,0.3,-1.95
191,Josh Richardson,PG/SG,MIA,43,25.6,0.444,3.6,8.1,0.944,1.2,1.3,1.5,9.9,2.8,2.4,0.6,0.3,0.8,-1.96
192,Isaiah Jackson,PF/C,IND,58,13.3,0.664,2.7,4,0.716,1.3,1.8,0,6.6,4.1,0.9,0.6,1.1,0.7,-1.98
193,Kobi Simmons,PG/SG,CHA,4,16.9,0.429,2.3,5.3,0,0,0,0.5,5,1.8,3,1.5,0.5,0.3,-1.98
194,Dillon Brooks,SG/SF,HOU,72,30.9,0.428,4.6,10.7,0.843,1.7,2,1.9,12.7,3.4,1.7,0.9,0.1,1.2,-1.99
195,Dyson Daniels,PG/SG,NO,61,22.3,0.447,2.3,5.1,0.644,0.6,0.9,0.7,5.8,3.9,2.7,1.4,0.4,1,-2.02
196,Bennedict Mathurin,SG/SF,IND,59,26.1,0.447,5,11.2,0.821,3.1,3.8,1.4,14.5,4,2,0.6,0.2,1.6,-2.03
197,Spencer Dinwiddie,PG/SG,LAL,76,28.3,0.392,3.3,8.4,0.804,2.2,2.8,1.6,10.5,2.7,4.7,0.7,0.3,1.2,-2.04
198,Jaden Ivey,PG/SG,DET,77,28.8,0.429,5.4,12.6,0.749,3,3.9,1.6,15.4,3.4,3.8,0.7,0.5,2.5,-2.09
199,Corey Kispert,SG/SF,WAS,80,25.8,0.487,4.8,9.9,0.73,1.4,2,2.3,13.4,2.8,2,0.5,0.2,1.2,-2.09
200,Andrew Nembhard,PG/SG,IND,68,25,0.497,3.8,7.7,0.805,0.7,0.8,0.9,9.2,2.1,4.1,0.9,0.1,1.5,-2.12
